,comment-en,comment-mg,sentiment
18,"Johnny is the epic tune that doesn't justify its epic length...Ty's long solo is the most pointless, meandering bunch of swoops and ambient sounds he's ever put together into a single chain.",Johnny dia ilay tononkalo mampientanentana izay tsy manamarina ny halavany mahazendana...Ny solo lava nataon'i Ty no andiana swoops tsy misy dikany sy mihodinkodina indrindra izay nakambanany tao anaty rojo tokana.,-1
19,"But it's remarkable how well Mill's thoughts about the mechanics of the economy, and how they affect the fabric of society, have aged.","Saingy mahagaga ny fahanteran'ny eritreritr'i Mill momba ny mekanika amin'ny toe-karena, sy ny fiantraikan'izany eo amin'ny rafitry ny fiarahamonina.",1
20,"(although I avoid exercise videos by instructors like this) This is ESPECIALLY out of place in belly dance, however.",(na dia misoroka vidéo fanazaran-tena ataon'ny mpampianatra toy izao aza aho) INDRINDRA tsy mety amin'ny dihy kibo anefa izany.,-1
21,"Neither, I got this with my Game Cube so I did not fall for any traps.","Na izany aza, azoko tamin'ny Game Cube izany ka tsy latsaka tamin'ny fandrika aho.",-1
22,It gets you strait where the first game left you - right into the action!,Mahatonga anao ho eo amin'ny toerana nandaozan'ny lalao voalohany anao izany - avy hatrany amin'ny hetsika!,1
23,"Pretty good story, and if it seems simple, don't worry; you will soon get into it.","Tantara tsara tarehy, ary raha toa tsotra izany, aza manahy; tsy ho ela dia hiditra ao ianao.",1
24,PS there is a Sudoku widget - so you can play Sudoku on the TV (as I said ealier - don't waste your money).,PS misy widget Sudoku - mba hahafahanao milalao Sudoku amin'ny fahitalavitra (araka ny nolazaiko ealier - aza mandany ny volanao).,-1
25,Producer Sam Raimi should be ashamed of himself for torturing us with this crap.,Ny mpamokatra Sam Raimi dia tokony ho menatra ny tenany noho ny fampijaliana anay tamin'ity hadalana ity.,-1
26,"But if you have money for one more HM, don't buy this one, it's the worst of them all.",Fa raha manam-bola ho an'ny HM iray indray ianao dia aza mividy an'ity fa ny ratsy indrindra amin'izy rehetra.,-1
27,I haven't seen a bargain like that for a while.,Efa ela aho no tsy nahita fifampiraharahana toy izany.,1
28,"Smash Bros. games are expected to have a perfect replay value, but this one's longevity is INCREDIBLY low.","Ny lalao Smash Bros dia andrasana hanana sanda replay tonga lafatra, saingy ambany be ny faharetan'ity lalao ity.",-1
29,"Ok first off it seems like my guys top speed is a breath taking 2 mph, 3 mph if I am sprinting.","Ok aloha dia toa ny hafainganam-pandeha ambony indrindra ry zalahy dia miaina 2 mph, 3 mph raha mihazakazaka aho.",-1
30,"No, since it's almost a brand-new game, they put so much new features that if you didn't like the old one, you're almost sure to put it in your top ten games after trying it.","Tsia, satria saika kilalao vaovao izy io, dia nametraka endri-javatra vaovao be dia be izy ireo ka raha tsy tianao ilay taloha, dia azo antoka fa hampidirinao ao anatin'ny lalao folo voalohany ataonao rehefa avy nanandrana azy.",-1
31,But regardless of how hard I pushed the iPhone down it won't go any further leaving the top of the phone exposed and earpiece unalligned.,Saingy na dia mafy toy inona aza aho nanosika ny iPhone hidina dia tsy handeha lavitra izany ka hamela ny tampon'ny telefaona mibaribary sy tsy misy sofina.,-1
32,"but the moive has it's high points, the CGI is great and the Dragon fights were amazing.","fa ny moive dia manana teboka ambony, ny CGI dia tsara ary ny ady Dragon dia mahagaga.",1
33,"And yes, as reviewer Morse also stated, you do have to listen closely for the subtle changes in style and tone(just when you think you are hearing a Celtic sort of sound, it moves on to something else and it challenges you to try and figure it out).","Ary eny, araka ny nambaran'ny mpandinika an'i Morse ihany koa, mila mihaino tsara ny fiovan'ny fomba sy ny feo ianao (rehefa mieritreritra ianao fa maheno karazana feo Celtic, dia miroso amin'ny zavatra hafa izany ary manasa anao hanandrana sy hamantatra izany).",1
34,I have a lot of problems with this game.,Manana olana maro aho amin'ity lalao ity.,-1
35,"The entire Mage counsel building is majestic, and the cotumes and make up are great as well.","Ny tranoben'ny mpanolo-tsaina Mage manontolo dia mijoalajoala, ary mahafinaritra koa ny cotumes sy ny makiazy.",1
36,What bothered me most about all of this was that there was no customer service number that I could call.,Ny tena nanahiran-tsaina ahy tamin'izany rehetra izany dia ny tsy fisian'ny laharan'ny serivisy mpanjifa azoko antsoina.,-1
37,"By having too simple a writing style, the author took some of the weight off a story that needed something heavier.","Amin'ny fananana fomba fanoratana tsotra loatra, ny mpanoratra dia nanaisotra ny lanjany tamin'ny tantara iray izay nila zavatra mavesatra kokoa.",-1
38,"Don't believe the hype, there is no friendly nike online running community.","Aza mino ny fihoaram-pefy, tsy misy vondrom-piarahamonina mihazakazaka an-tserasera nike.",-1
39,"The third song, ""Under Azure Skies"", deserves a paragraph of its own.","Ny hira fahatelo, ""Under Azure Skies"", dia mendrika ny fehintsoratra manokana.",1
40,Even though they're like “pictures” they still look great like this!,"Na dia toy ny ""sary"" aza izy ireo dia mbola tsara tarehy toy izao!",1
41,This a forgettable collection that only the most dedicated of Moby fans will want to purchase.,Ity famoriam-bola tsy hay hadinoina ity fa ny mpankafy an'i Moby ihany no te hividy.,-1
42,"He distorts his printed sources, omits evidence in these sources that refutes his accusations, and invents material that isn't actually there (there are currently many web sites which document this dishonesty in a point-by-point manner, although Amazon asks that reviewers not include URLs in their reviews).","Manova ny loharanony izy, manaisotra ny porofo ao amin'ireo loharanom-baovao izay manohitra ny fiampangana azy, ary mamorona fitaovana izay tsy tena misy (misy tranonkala maro amin'izao fotoana izao izay mirakitra an'io tsy fahamarinan-toetra io amin'ny teboka tsirairay, na dia manontany aza i Amazon fa tsy hampiditra URL ao amin'ny tsikerany ny mpandinika).",-1
43,First of all-you can't teach a belly dance video if you can't belly dance yourself.,Voalohany indrindra-tsy afaka mampianatra vidéo dihy kibo ianao raha tsy mahay mandihy kibo ny tenanao.,-1
44,"""Lola"" is the worse actress in probably...the universe.","""Lola"" no mpilalao sarimihetsika ratsy kokoa amin'ny mety ... izao rehetra izao.",-1
45,"On the plus side, there are buttons to program for radio stations and this is done like in the car.","Amin'ny lafiny iray, misy bokotra fandaharana ho an'ny onjam-peo ary izany dia atao toy ny ao anaty fiara.",1
46,"It seems I may have used the flash accidentally once or twice (I keep it off) but if I depended on it I might be a little wary of its constant popping up as I'm sure its just a flimsy, plastic rack and pinion mechanism.",Toa tsy nahy indray mandeha na indroa aho no nampiasa ilay tselatra (esoriko) fa raha miankin-doha amin'izany aho dia mety ho taitra kely amin'ny fipoitrany tsy mitsaha-mitombo satria azoko antoka fa fanjaitra plastika sy pinion fotsiny izy io.,-1
47,My T720 has broke down several times.,Imbetsaka no simba ny T720-ko.,-1
48,"On the other hand, I would not recommend this or any other Sony product in light of Sony's exchange policy and poor service.","Amin'ny lafiny iray, tsy manoro an'ity na vokatra Sony hafa aho raha jerena ny politikan'ny fifanakalozana sy ny serivisy ratsy nataon'i Sony.",-1
49,"If you get killed, you have to do it all over again, and again, and again, ... I recommend playing this game at the ""normal"" setting the first time - perhaps then it would have been more fun.","Raha maty ianao, dia tsy maintsy manao izany indray ianao, ary avereno indray, ... Manoro hevitra ny hilalao an'ity lalao ity amin'ny ""normal"" aho amin'ny voalohany - angamba ho nahafinaritra kokoa izany.",-1
50,Could not find any where to put in a claim.,Tsy nahita toerana hametrahana fitakiana.,-1
51,"This is all in a game which claims to let you use ""Real Military Tactics.""","Izany rehetra izany dia amin'ny lalao izay milaza fa mamela anao hampiasa ""Tetika Miaramila Tena izy.""",-1
52,has a better groove and the vocals are better delivered...,manana groove tsara kokoa ary tsara kokoa ny feo...,1
53,It wasn't worth the wait.,Tsy mendrika ny niandry izany.,-1
54,"Man, this album is soo good i cannot believe!",Tsara be ity rakikira ity ka tsy azoko inoana!,1
55,"This game is barely worth a rent, because you'll lose interest quick.","Zara raha misy hofan-trano ity lalao ity, satria ho very liana haingana ianao.",-1
56,"I am very upset, but i am not a quitter but a surviver ! I am going to keep on trying, they will definitely remember my name before i am through.","Tezitra be aho, fa tsy mpifoka fa tafavoaka velona! Hiezaka hatrany aho, ho tsaroan'izy ireo tokoa ny anarako alohan'ny hahavitako.",-1
57,"Yes there is a war against evil going on, but decapitations?","Eny misy ady amin'ny ratsy mandeha, fa ny fanapahana?",-1
58,All you see is the counter with the produces on display and the shopkeeper in front of you.,Ny hany hitanao dia ny kaontera misy ny vokatra aseho sy ny mpivarotra eo anoloanao.,-1
59,"Many of Frymire's conclusions are naive, and a large number are just plain wrong as will be obvious to any creationists.","Maro amin'ireo fanatsoahan-kevitr'i Frymire no tsy misy dikany, ary maro no diso tanteraka araka izay ho hitan'ny mpamorona rehetra.",-1
60,Plenty of force powers and items to use.,Betsaka ny hery sy zavatra ampiasaina.,1
61,FM function allows you to play music on your phone through your car stereo.,Ny fiasa FM dia ahafahanao milalao mozika amin'ny findainao amin'ny alàlan'ny stereo fiaranao.,1
62,There are only two scenes that I enjoyed in this entire film.,Seho roa ihany no nankafiziko tamin'ity sarimihetsika manontolo ity.,1
63,"You also have to beat rivals, explore the mountain, complete every extra bonus missions and collect stickers, drawings and dolls of the characters.","Tsy maintsy mandresy ny mpifaninana ihany koa ianao, mikaroka ny tendrombohitra, mamita iraka bonus fanampiny rehetra ary manangona stickers, sary ary saribakoly amin'ireo mpilalao.",1
64,The gift of gab has never been so enjoyable.,Ny fanomezana gab dia tsy mbola nahafinaritra.,1
65,"Although Blalock is a real hottie, the shameful way her character is depicted as either a 'sista pretending to be white' or vice versea as some sort of living-in-the-shadows- chameleon is only further drummed over the head by the ham-fisted direction by Wayne Beach in his debut as a helmsman and also the film's scribe.","Na dia tena mahafatifaty aza i Blalock, ny fomba mahamenatra dia aseho ho toy ny 'sista mody fotsy' na ny mifamadika amin'izany satria ny karazana miaina-in-the-shadows- chameleon dia vao mainka nivezivezy teo an-dohany tamin'ny alàlan'ny tondrozotra nataon'i Wayne Beach tamin'ny voalohany tamin'ny maha-mpitarika azy ary koa ny mpanoratra ny sarimihetsika.",-1
66,"I am looking forward to trying out GC2, but from the reviews, it seems that the major enhancement is the ability to design ships.","Tsy andriko ny hanandrana ny GC2, fa avy amin'ny tsikera dia toa ny fanatsarana lehibe dia ny fahaizana manamboatra sambo.",1
67,Took away game play settings.,Nesoriny ny filalaovana lalao.,-1
68,"It's okay for a short film or small part in a film, but a whole feature?","Mety ho an'ny sarimihetsika fohy na ampahany kely amin'ny sarimihetsika, fa ny endri-javatra iray manontolo?",-1
69,"Just to throw out a few examples of this-when Kathy was leading clockwise chest circles in the slow segment (lifting the chest up, to one side, down, then to the other side) she was letting her chest collapse to center between each move rather than holding it there.","Mba hanipy ohatra vitsivitsy amin'izany fotsiny-rehefa nitarika faribolan'ny tratra araka ny fihodin'ny famantaranandro tao amin'ny fizarana miadana i Kathy (nampiakatra ny tratra miakatra, miankavanana, midina, avy eo miankavanana) dia navelany hirodana eo afovoany ny tratrany fa tsy nitazona azy teo.",-1
70,Their certainly is better Sonic games out their.,Azo antoka fa tsara kokoa ny lalao Sonic azy ireo.,-1
71,"If you like the Who and have a CD player capable of playing NON-HYBRID SACDs, then this one is a no-brainer.","Raha tianao ny Iza ary manana mpilalao CD mahay milalao SACD TSY MISY HYBRID, dia tsy misy dikany ity iray ity.",1
72,there is a very high chance that we'll be kill by the boss...,be dia be ny mety ho matin'ny lehibenay...,-1
73,She took a couple belly dance classes and then put out a video.,Nanao kilasy dihy kibo roa izy ary namoaka horonan-tsary avy eo.,-1
74,"Adding fuel to the fire is many turns in this serpentine crime drama that offers about as much suspense as a re-run of any form of ""Law & Order"": Timmer may or may not have been having an affair with the deceased assailant, may or may not know the true identity of the mysterious local kingpin and may or may not be involved in a convoluted scheme involving high-level real estate conspiracies with the aforementioned gangsta.","Ny fampidirana solika amin'ny afo dia misy fihodinana maro amin'ity tantara momba ny heloka bevava bibilava ity izay manolotra fampiatoana be dia be toy ny famerenana indray ny endrika ""Law & Order"": mety tsy nifandray tamin'ilay mpanafika maty i Timmer, mety na tsy mahafantatra ny tena maha-izy azy ny mpanjaka mistery eo an-toerana ary mety ho tafiditra ao anatin'ny teti-bola miray tsikombakomba amin'ny fananan-tany. gangsta.",-1
75,The gear movements on this heavy duty head are smooth and very precise.,Ny fihetsehan'ny fitaovam-pitaterana amin'ity loha adidy mavesatra ity dia malama ary tena marina.,1
76,Oh but this hurt Luke too bad for Jedi techniques to work.,Oh fa nandratra an'i Luke izany dia ratsy loatra ho an'ny teknika Jedi mba hiasa.,-1
77,What I really didnt like about it was that the quests (the large ones) don't end with one dungeon.,Ny tena tsy tiako dia ny fikatsahana (ireo lehibe) dia tsy mifarana amin'ny fonja iray.,-1
78,"All in all, I hope Square tries a little harder next time.","Amin'ny ankapobeny, manantena aho fa hiezaka mafy kokoa ny Square amin'ny manaraka.",-1
79,Cons: Nothing negative about it.,Cons: Tsy misy ratsy momba izany.,1
80,"Also, this accrued during normal usage (browsing, music) second, which was mostly the issue, the battery barely last 2 hours!","Ary koa, izany dia nitombo nandritra ny fampiasana mahazatra (mijery, mozika) faharoa, izay ny ankamaroany dia olana, ny bateria zara raha naharitra 2 ora!",-1
81,The graphics are not all that great.,Tsy dia tsara loatra ny sary.,-1
82,"I am thinking, Kik Wear, Sonic 2000, the ones that are bright pink.","Mieritreritra aho, Kik Wear, Sonic 2000, ireo izay mavokely mavokely.",-1
83,"FACTOTUM (2006) ***1/2 Matt Dillon, Lili Taylor, Marisa Tomei, Fisher Stevens, Didier Flamand, Karen Young, Adrienne Shelly. (Dir: Brent Hamer) Dynamite Dillon excels in Bukowski adaptation Matt Dillon, believe it or not, is one of the more versatile American actors around since his hey-day cocksure anti-heroes of the '80s (""Rumble Fish"", ""The Outsiders"") who can do it all, comedy (""There's Something About Mary"") and drama (""Crash"" which earned him a Best Supporting Actor nomination last year) and he continues his journeyman vocation with a humdinger performance running the gamut of human emotions.","FACTOTUM (2006) ***1/2 Matt Dillon, Lili Taylor, Marisa Tomei, Fisher Stevens, Didier Flamand, Karen Young, Adrienne Shelly. (Dir: Brent Hamer) Dynamite Dillon dia tsara indrindra amin'ny fampifanarahana an'i Bukowski Matt Dillon, mino izany na tsia, dia iray amin'ireo mpilalao Amerikana mahay kokoa manodidina hatramin'ny nanombohan'ny cocksure anti-heroes tamin'ny '80s (""Rumble Fish"", ""The Outsiders"") izay afaka manao izany rehetra izany, hatsikana (""Misy"" zavatra tsara indrindra momba an'i Mary"") tamin'ny taon-dasa) ary nanohy ny asany amin'ny maha-mpilalao azy izy miaraka amin'ny fampisehoana mahamenatra mitondra ny fihetseham-pon'ny olombelona.",1
84,"Score: 10/10 Story - Count Dracula has again arisen: Cornell, a strong man-beast, ventures into Castlevania to find his kidnapped sister and to destroy Dracula.","Score: 10/10 Tantara - Nipoitra indray i Count Dracula: Niditra tao Castlevania i Cornell, biby mahery, mba hitady ny anabaviny nalaina an-keriny sy handringana an'i Dracula.",1
85,Everything is so confusing and it's so easy to get lost.,Misavoritaka ny zava-drehetra ary mora very.,-1
86,Cinematographer Alar Kivilo's blue-black schematics make you feel the stinging cold of the Midwest bleakness engulfing the characters' plight.,"Ny kisary manga-mainty an'i Alar Kivilo, mpanao cinematographer, dia mahatonga anao hahatsapa ny hatsiaka mamirifiry amin'ny haizin'ny Afovoany Andrefana manenika ny fahorian'ireo mpilalao.",1
87,"a complete rip-off and about as generic as it gets, it combines the most commercially viable aspect of Nirvana (loud guitars and screaming) with the down-tuned sound of Korn. Truely this band would do better to become a tribute band, which in many respects they are.","rip-off tanteraka ary saika mitovy amin'ny mahazatra, manambatra ny lafiny ara-barotra indrindra amin'ny Nirvana (gitara mafy sy mikiakiaka) miaraka amin'ny feon'i Korn midina. Raha ny marina, ity tarika ity dia ho tsara kokoa ho lasa tarika fanomezam-boninahitra, izay amin'ny lafiny maro.",-1
88,It works great for that and much more.,Miasa tsara amin'izany sy ny maro hafa.,1
89,Getting and telling the story is what Wohlforth knows how to do.,Ny fahazoana sy fitantarana ny tantara no hain'i Wohlforth atao.,1
90,It also has the cable wrap for your headphone so it won't get into the way while exercising.,Izy io koa dia manana ny fonon'ny tariby ho an'ny écouteur-nao mba tsy hiditra amin'ny lalana rehefa manao fanatanjahan-tena.,1
91,"If they are going to give us the same music that you keep hearing, day after day, hour after hour, why didn't they take their time and compose some good music, like the Summer and Fall ones?","Raha toa ka hanome antsika ny mozika henonao foana izy ireo, isan'andro isan'andro, isan'ora, nahoana izy ireo no tsy naka fotoana sy namorona mozika tsara, toy ny fahavaratra sy ny fararano?",-1
92,A good idea done completely wrong and not worth the cash I had to pay to see it.,Hevitra tsara natao tsy nety tanteraka ary tsy mendrika ny vola naloako mba hahitana izany.,-1
93,I raced through rest of the 300 pages in another hour and I haven't missed anything!,Nihazakazaka namakivaky ireo pejy 300 ambiny aho tao anatin'ny adiny iray ary tsy nisy na inona na inona no diso!,-1
94,Story : 1/10 Here's where things start to go bad.,Tantara : 1/10 Eto no manomboka ratsy ny zava-drehetra.,-1
95,2. The shallowness of the characters made me cringe.,2. Ny fahatsoran'ireo endri-tsoratra dia nahatonga ahy hikorontana.,-1
96,"They tried to make a good item system, but they unfortunately failed, and quite miserably may I add?","Niezaka nanao rafitra singa tsara izy ireo, saingy indrisy fa tsy nahomby izy ireo, ary tena mampalahelo ve aho?",-1
97,Told in an icy comic vein by master veteran funnyman Harold Ramis who deftly directs the sordid and humorous sequences with aplomb and some interesting shots along the way (I particularly liked the off-center POV of a shotgun cartridge during one of the climactic action sequences very much so) as well as letting his cast simply let the smart screenplay by vets Richard Russo and Robert Benton sail along in the adaptation of Scott Phillips' Jim Thompsonian pulp fiction with just the right amount of bite and bile executed.,"Nolazain'i Harold Ramis, mpanao hatsikana mahatsikaiky mahatsikaiky, izay mitarika ny filaharana mampihomehy sy mahatsikaiky miaraka amin'ny tifitra mahaliana sy tifitra mahaliana eny an-dalana (Tiako manokana ny POV ivelan'ny afovoany amin'ny basy basy iray nandritra ny iray amin'ireo filaharan'ny hetsika climactic be dia be) ary namela ny mpilalaony hamela fotsiny ny sarin'i Jim Russo sy Robert Benton mba hampifanaraka ny sarin'i Richard Jim Russo sy Robert Benton. Fiction fiction amin'ny pulp Thompsonian miaraka amin'ny fatran'ny kaikitra sy ny bile sahaza.",1
98,"What time they spent redrawing those expressions they could have used to maintain the original grid system format for the DS. A different issue is the gameplay settings: Easy(aka never played a video game in your life), Medium (aka played one rpg), and Hard (aka easy mode on normal rpgs) have disappeared.","Firy ny fotoana lanin'izy ireo namerenana ireo fomba fiteny azony nampiasainy mba hitazonana ny endrika rafitra rafitra voalohany ho an'ny DS. Ny olana hafa dia ny firafitry ny lalao: Easy (tsy mbola nilalao lalao video mihitsy teo amin'ny fiainanao), Medium (aka nilalao rpg iray), ary Hard (aka mode mora amin'ny rpgs mahazatra) dia nanjavona.",-1
99,Perhaps that's where the crux of the problem actually is.,Angamba izay no tena fototry ny olana.,-1
100,"Well, duh, that summarizes just about every bad story ever told.","Eny, duh, izany dia mamintina ny momba ny tantara ratsy rehetra voalaza.",-1
101,"It doesn't let you adjust the apperture settings, and it always tends to make terrible automatic lighting choices.","Tsy mamela anao hanitsy ny firafitry ny apperture izany, ary mirona hanao safidy jiro mandeha ho azy mahatsiravina foana.",-1
102,For the first 20 minutes.,Nandritra ny 20 minitra voalohany.,-1
103,"obviously just wanted that thrown in there to widen their target market, and make us laugh even harder they added a fat man jumping off a bridge.","mazava ho azy fa te hanitarana ny tsena kendren'izy ireo fotsiny izany, ary vao mainka mampiomehy antsika dia nanampy lehilahy matavy mitsambikina avy tetezana.",-1
104,Greatest TV I have ever had!,TV lehibe indrindra nananako!,1
105,Be aware that the game will likely crash for you at some point.,Tandremo fa mety hianjera ho anao ny lalao amin'ny fotoana iray.,-1
106,: Keaton shines in his love of the game turn Michael Keaton is one of my favorite (and largely underrated) actors.,: Mamirapiratra ao anatin'ny fitiavany ny lalao i Keaton Michael Keaton dia iray amin'ireo mpilalao ankafiziko indrindra (ary tena ambany).,1
107,her voice is great in this song 2.Cliche Interlude + Cliche - 5/5 stars.,tsara ny feony amin'ity hira ity 2.Cliche Interlude + Cliche - kintana 5/5.,1
108,"But he approaches it both as a journalist who makes his living by storytelling, and as a father used to gently encouraging his four bright, curious children to understand their world.","Saingy manatona izany izy amin'ny maha-mpanao gazety izay mivelona amin'ny fitantarana, ary toy ny raim-pianakaviana iray izay nampirisika moramora ny zanany efatra mamiratra sy liana mba hahatakatra ny tontolon'izy ireo.",1
109,And since when did Universal Studios have a quiz game?,Ary oviana ny Universal Studios no nanana lalao quiz?,-1
110,"None of these factor into his character however, and we are left with a thief so lifeless and boring that we wonder what all these love sick girls see in him.","Tsy misy na iray aza amin'ireo antony ireo amin'ny toetrany, ary isika dia tavela miaraka amin'ny mpangalatra tsy misy aina sy mankaleo ka manontany tena hoe inona no hitan'ireo tovovavy marary rehetra ireo ao aminy.",-1
111,"Dagger just simply exists in this title, and is so predictable, that her story could have been summed up in about 20 minutes of the game.","Ny Dagger dia misy fotsiny amin'ity lohateny ity, ary azo vinavinaina, ka mety ho voafintina ao anatin'ny 20 minitra eo ho eo ny tantarany.",-1
112,"When I called their support 5, yes, 5 times to solve just upgrading the firmware, they told me first that the iso was fine, then to use a boot diskette, then to use the iso.","Rehefa niantso ny mpanohana azy 5 aho, eny, in-5 hamahana ny fanavaozana ny firmware fotsiny, dia nilaza tamiko izy ireo fa tsara ny iso, avy eo mampiasa diskette boot, avy eo mampiasa iso.",-1
113,There is even a simple 3x3 grid you can turn on to help you compose in the frame: can't begin to say how useful that is.,Misy mihitsy aza ny grid 3x3 tsotra azonao velomina hanampy anao hamorona ao anaty frame: tsy afaka manomboka milaza ny maha-zava-dehibe izany.,1
114,The game has very blocky graphics bringing down its overall appeal.,Ny lalao dia manana sary tena blocky izay mampidina ny fiangaviany amin'ny ankapobeny.,-1
115,Usually Bon Jovi cd's are good but this cd was just crap.,Mazàna ny cd Bon Jovi no tsara fa io cd io dia tsy misy dikany.,-1
116,"Although it became soon dated, it sounds today very fresh.","Na dia lasa tsy ela aza izy io, dia tena vaovao tokoa izany ankehitriny.",1
117,You can't aim at anything!,Tsy afaka mikendry na inona na inona ianao!,-1
118,Both make you feel for their desperation and ultimately their last-ditch efforts of keeping their sanities in lock-step.,Samy mahatsapa ny famoizam-pony ianao ary amin'ny farany ny ezaka farany ataon'izy ireo amin'ny fitazonana ny fahasalamany amin'ny dingana mihidy.,1
119,If this was any more by-the-numbers I would have sworn I'd read it already.,Raha mbola amin'ny alalan'ny isa ihany ity dia efa nianiana aho fa efa namaky azy sahady.,-1
120,And the sound quality - my God!,Ary ny kalitaon'ny feo - Andriamanitro!,-1
121,It has nice sound as an mp-3 player as well.,Izy io dia manana feo tsara toy ny mp-3 mpilalao ihany koa.,1
122,"Wow, could have been a expansion pack.","Oay, mety ho fonosana fanitarana.",-1
123,"And even the voice acting is well done, with the occasional joke now and then.","Ary na ny feo mihetsika aza dia vita tsara, miaraka amin'ny vazivazy indraindray.",1
124,"But the biblical, practical advice in The Language of Love and Respect helps us speak one another's language, and grow a God-honoring marriage.","Saingy ny torohevitra ara-baiboly sy azo ampiharina ao amin’ny The Language of Love and Respect dia manampy antsika hifampiresaka amin’ny fitenin’ny hafa, ary hampitombo ny fanambadiana manaja an’Andriamanitra.",1
125,You must press the button down rather hard before it responds.,Tsy maintsy manindry mafy ilay bokotra ianao vao mamaly.,-1
126,"If they grab, you, hit B instead of X to break the hold.","Raha misambotra ianao, tsindrio B fa tsy X mba hanapaka ny fihazonana.",-1
127,it's an endless cycle that becomes annoying in the later sections when you face up against some extremely hard boss characters.,tsingerina tsy manam-pahataperana izay manjary mahasosotra any amin'ny fizarana manaraka rehefa miatrika ireo toetran'ny lehibeny tena mafy ianao.,-1
128,Unbelievably great!!!,Mahafinaritra be!!!,1
129,It's like NBA Live without serveral of the features that make Live such a fun bball series.,Sahala amin'ny NBA Live tsy misy serveral amin'ireo endri-javatra izay mahatonga ny Live ho andiany bball mahafinaritra.,-1
130,"We have the black cat, lousy score, the Trinity kick, the oracles home (with her in it), cookies, and so on.","Manana ny saka mainty izahay, ny isa ratsy, ny kick Trinite, ny oracles home (miaraka aminy ao anatiny), cookies, sns.",-1
131,"Guthrie is a lyrical genius, of course.",Guthrie dia mahay tononkira mazava ho azy.,1
132,"I was in the midst of wondering why I was watching this 3rd rate film when I could have been watching ""Dear John"" instead.","Tao anatin'ny hanontany tena aho hoe nahoana aho no nijery an'io film 3ème rate io nefa afaka nijery an'i ""Dear John"" kosa aho.",-1
133,"Now, they changed for the sake of nothing.","Ankehitriny, niova izy ireo noho ny tsy misy.",-1
134,I didn't experience any slow downs or others issues.,Tsy nahita fihemorana na olana hafa aho.,1
135,"The cities are all dark; I suppose from smog and smoke from guns, and cannons, ect.","Ny tanàna dia maizina avokoa; Heveriko fa avy amin'ny setroka sy setroka avy amin'ny basy, ary tafondro, sns.",-1
136,He has no depth.,Tsy manana lalina izy.,-1
